EventId,Type,Severity,Date,LocationLat,LocationLng,City,State
88,Rain,Light,2016-03-28,28.9444,-81.9701,Lady Lake,FL
89,Fog,Severe,2016-03-29,30.0644,-85.5637,Panama City,FL
90,Rain,Light,2016-03-30,29.505,-95.4765,Rosharon,TX
91,Rain,Light,2016-03-31,39.0136,-87.6485,Palestine,IL
92,Rain,Light,2016-04-01,31.9888,-83.7739,Cordele,GA
93,Rain,Moderate,2016-04-02,29.6917,-82.27600000000002,Gainesville,FL
94,Rain,Light,2016-04-03,42.4681,-71.2946,Concord,MA
95,Snow,Light,2016-04-04,43.1083,-78.9382,Niagara Falls,NY
96,Rain,Light,2016-04-05,47.0792,-122.5808,Tacoma,WA
97,Rain,Light,2016-04-06,40.4774,-88.9143,Bloomington,IL
98,Rain,Light,2016-04-07,42.08,-80.1825,Erie,PA
99,Snow,Light,2016-04-08,42.1078,-77.9842,Wellsville,NY
100,Rain,Light,2016-04-09,34.021,-118.4471,Santa Monica,CA
101,Rain,Moderate,2016-04-10,35.4344,-119.0542,Bakersfield,CA
102,Rain,Light,2016-04-11,29.2543,-96.1544,Wharton,TX
103,Rain,Light,2016-04-12,37.3071,-108.6264,Cortez,CO
104,Rain,Light,2016-04-13,26.2285,-97.6544,Harlingen,TX
105,Rain,Light,2016-04-14,32.9322,-96.4348,Rockwall,TX
106,Fog,Severe,2016-04-15,31.1525,-97.4078,Temple,TX
107,Snow,Light,2016-04-16,40.3315,-103.807,Fort Morgan,CO
108,Precipitation,UNK,2016-04-17,32.2153,-98.1777,Stephenville,TX
109,Rain,Light,2016-04-18,32.4208,-99.8546,Dyess AFB,TX
110,Rain,Light,2016-04-19,31.2359,-94.7546,Burke,TX
111,Rain,Light,2016-04-20,37.1824,-88.7489,Metropolis,IL
112,Fog,Moderate,2016-04-21,28.6516,-96.682,Port Lavaca,TX
113,Rain,Light,2016-04-22,38.7605,-87.59899999999998,Lawrenceville,IL
114,Rain,Light,2016-04-23,37.5119,-122.2483,San Carlos,CA
115,Rain,Moderate,2016-04-24,27.7734,-97.513,Corpus Christi,TX
116,Fog,Moderate,2016-04-25,37.5136,-122.4996,Half Moon Bay,CA
117,Rain,Light,2016-04-26,32.9539,-84.2594,Thomaston,GA
118,Rain,Light,2016-04-27,30.7285,-87.0219,Milton,FL
119,Rain,Light,2016-04-28,35.9458,-112.1554,Grand Canyon,AZ
120,Rain,Light,2016-04-29,42.2413,-78.3714,Hinsdale,NY
121,Cold,Severe,2016-04-30,30.0333,-85.5333,Panama City,FL
122,Fog,Severe,2016-05-01,33.9154,-84.5163,Marietta,GA
123,Rain,Light,2016-05-02,33.9154,-84.5163,Marietta,GA
124,Rain,Light,2016-05-03,40.8534,-77.8401,State College,PA
125,Rain,Light,2016-05-04,32.4831,-81.7372,Statesboro,GA
126,Rain,Light,2016-05-05,26.4338,-81.4014,Immokalee,FL
127,Fog,Moderate,2016-05-06,30.735,-101.203,Ozona,TX
128,Hail,Other,2016-05-07,38.9697,-104.8131,Usaf Academy,CO
129,Rain,Light,2016-05-08,42.4681,-71.2946,Concord,MA
130,Rain,Light,2016-05-09,41.0231,-89.3885,Lacon,IL
131,Fog,Moderate,2016-05-10,28.9562,-98.5184,Pleasanton,TX
132,Rain,Light,2016-05-11,39.0503,-105.5144,Lake George,CO
133,Rain,Light,2016-05-12,38.564,-90.1487,East Saint Louis,IL
134,Cold,Severe,2016-05-13,41.0687,-87.8537,Kankakee,IL
135,Rain,Light,2016-05-14,47.9233,-122.2831,Mukilteo,WA
136,Rain,Light,2016-05-15,39.0503,-105.5144,Lake George,CO
137,Rain,Light,2016-05-16,29.5337,-98.4698,San Antonio,TX
138,Rain,Light,2016-05-17,31.8872,-81.5624,Fort Stewart,GA
139,Rain,Light,2016-05-18,32.6934,-100.9505,Snyder,TX
140,Rain,Light,2016-05-19,36.6169,-87.4117,Clarksville,TN
141,Fog,Severe,2016-05-20,41.6791,-70.9591,New Bedford,MA
142,Snow,Light,2016-05-21,38.8984,-119.9962,South Lake Tahoe,CA
143,Rain,Light,2016-05-22,40.3302,-75.1229,Doylestown,PA
144,Rain,Light,2016-05-23,32.699,-94.9489,Gilmer,TX
145,Fog,Moderate,2016-05-24,26.1775,-97.9731,Weslaco,TX
146,Fog,Moderate,2016-05-25,30.5857,-100.6486,Sonora,TX
147,Fog,Moderate,2016-05-26,29.343000000000004,-98.8497,Castroville,TX
148,Rain,Light,2016-05-27,42.4908,-76.4583,Ithaca,NY
149,Rain,Light,2016-05-28,38.75,-104.85,Colorado Springs,CO
150,Rain,Light,2016-05-29,30.349,-85.788,Panama City,FL
151,Rain,Moderate,2016-05-30,30.349,-85.788,Panama City,FL
152,Fog,Moderate,2016-05-31,41.3335,-75.7227,Pittston,PA
153,Rain,Light,2016-06-01,41.4316,-88.4152,Saratoga,IL
154,Rain,Light,2016-06-02,28.7248,-96.2535,Palacios,TX
155,Fog,Severe,2016-06-03,41.7984,-78.6354,Lewis Run,PA
156,Rain,Light,2016-06-04,38.8897,-90.0316,Bethalto,IL
157,Rain,Moderate,2016-06-05,36.4797,-82.3989,Blountville,TN
158,Fog,Severe,2016-06-06,30.7763,-83.2739,Valdosta,GA
159,Rain,Light,2016-06-07,40.5704,-75.4894,Allentown,PA
160,Rain,Light,2016-06-08,41.1795,-78.8933,Reynoldsville,PA
161,Rain,Heavy,2016-06-09,28.7248,-96.2535,Palacios,TX
162,Rain,Light,2016-06-10,31.3097,-95.4039,Crockett,TX
163,Rain,Light,2016-06-11,30.3564,-95.008,Cleveland,TX
164,Rain,Light,2016-06-12,31.9478,-102.2086,Midland,TX
165,Precipitation,UNK,2016-06-13,25.995,-81.6725,Naples,FL
166,Rain,Light,2016-06-14,36.6169,-87.4117,Clarksville,TN
167,Rain,Light,2016-06-15,26.199,-80.1776,Fort Lauderdale,FL
168,Rain,Light,2016-06-16,29.6342,-104.3615,Marfa,TX
169,Rain,Light,2016-06-17,30.0644,-85.5637,Panama City,FL
170,Rain,Light,2016-06-18,44.6509,-73.4681,Plattsburgh,NY
171,Rain,Light,2016-06-19,32.9322,-96.4348,Rockwall,TX
172,Fog,Moderate,2016-06-20,32.719,-98.891,Breckenridge,TX
173,Rain,Light,2016-06-21,42.3606,-71.0097,East Boston,MA
174,Rain,Light,2016-06-22,44.0556,-75.7195,Fort Drum,NY
175,Rain,Light,2016-06-23,35.85800000000001,-102.013,Dumas,TX
176,Fog,Moderate,2016-06-24,39.4743,-88.2723,Mattoon,IL
177,Rain,Light,2016-06-25,29.6223,-95.6565,Sugar Land,TX
178,Rain,Light,2016-06-26,32.4674,-100.4666,Sweetwater,TX
179,Rain,Moderate,2016-06-27,42.4932,-79.2762,Dunkirk,NY
180,Rain,Light,2016-06-28,29.6073,-95.1587,Houston,TX
181,Rain,Light,2016-06-29,35.889,-101.03,Miami,TX
182,Fog,Moderate,2016-06-30,35.135,-118.4392,Tehachapi,CA
183,Rain,Light,2016-07-01,39.6391,-90.7818,Pittsfield,IL
184,Rain,Light,2016-07-02,28.866,-82.5741,Crystal River,FL
185,Rain,Light,2016-07-03,38.564,-90.1487,East Saint Louis,IL
186,Rain,Light,2016-07-04,32.747,-96.5304,Mesquite,TX
187,Rain,Heavy,2016-07-05,40.8505,-72.6193,East Quogue,NY
188,Rain,Light,2016-07-06,33.227,-84.275,Griffin,GA
189,Rain,Moderate,2016-07-07,36.023,-84.2336,Oak Ridge,TN
190,Fog,Moderate,2016-07-08,40.2184,-76.8552,New Cumberland,PA
191,Rain,Light,2016-07-09,32.5633,-82.9854,Dublin,GA
192,Rain,Light,2016-07-10,40.8217,-72.8689,Shirley,NY
193,Rain,Light,2016-07-11,32.699,-94.9489,Gilmer,TX
194,Precipitation,UNK,2016-07-12,30.837,-85.1835,Marianna,FL
195,Fog,Severe,2016-07-13,38.564,-90.1487,East Saint Louis,IL
196,Rain,Moderate,2016-07-14,40.0324,-88.2755,Tolono,IL
197,Rain,Light,2016-07-15,41.8965,-88.2512,West Chicago,IL
198,Rain,Light,2016-07-16,35.695,-101.395,Borger,TX
199,Fog,Moderate,2016-07-17,33.9753,-117.6361,Ontario,CA
200,Rain,Light,2016-07-18,38.9697,-104.8131,Usaf Academy,CO
201,Rain,Light,2016-07-19,28.615,-80.6945,Orlando,FL
202,Rain,Light,2016-07-20,40.0117,-105.0503,Erie,CO
203,Rain,Light,2016-07-21,31.3975,-84.8948,Blakely,GA
204,Rain,Light,2016-07-22,28.866,-82.5741,Crystal River,FL
205,Rain,Light,2016-07-23,27.9126,-82.6855,Clearwater,FL
206,Fog,Severe,2016-07-24,44.9358,-74.8455,Massena,NY
207,Cold,Severe,2016-07-25,37.8128,-88.5449,Raleigh,IL
208,Rain,Moderate,2016-07-26,27.8947,-98.0425,Orange Grove,TX
209,Rain,Light,2016-07-27,29.5297,-98.2789,Universal City,TX
210,Rain,Heavy,2016-07-28,24.5801,-81.6829,Key West,FL
211,Rain,Light,2016-07-29,42.4255,-87.8634,Waukegan,IL
212,Rain,Light,2016-07-30,29.7268,-85.0248,Apalachicola,FL
213,Cold,Severe,2016-07-31,34.8578,-102.3264,Hereford East,TX
214,Rain,Light,2016-08-01,37.1824,-88.7489,Metropolis,IL
215,Rain,Light,2016-08-02,34.594,-83.296,Toccoa,GA
216,Fog,Severe,2016-08-03,41.8756,-71.0211,East Taunton,MA
217,Rain,Light,2016-08-04,39.8453,-89.684,Springfield,IL
218,Rain,Light,2016-08-05,27.4981,-80.3767,Fort Pierce,FL
219,Precipitation,UNK,2016-08-06,40.3149,-78.8307,Johnstown,PA
220,Fog,Severe,2016-08-07,40.0503,-105.5839,Bald Mountain,CO
221,Rain,Light,2016-08-08,25.4949,-80.3732,Homestead,FL
222,Rain,Light,2016-08-09,24.7263,-81.0477,Marathon,FL
223,Rain,Light,2016-08-10,26.4338,-81.4014,Immokalee,FL
224,Rain,Light,2016-08-11,33.535,-112.3832,Luke Air Force Base,AZ
225,Rain,Light,2016-08-12,39.6391,-90.7818,Pittsfield,IL
226,Fog,Moderate,2016-08-13,26.1758,-98.2386,Mcallen,TX
227,Rain,Light,2016-08-14,29.9844,-95.3607,Houston,TX
228,Fog,Severe,2016-08-15,31.0849,-83.8033,Moultrie,GA
229,Rain,Light,2016-08-16,38.0887,-88.1213,Carmi,IL
230,Rain,Light,2016-08-17,38.428,-105.1058,Penrose,CO
231,Fog,Severe,2016-08-18,38.8897,-90.0316,Bethalto,IL
232,Rain,Light,2016-08-19,42.1208,-87.9047,Wheeling,IL
233,Cold,Severe,2016-08-20,39.0136,-87.6485,Palestine,IL
234,Rain,Light,2016-08-21,47.9375,-124.555,Forks,WA
235,Rain,Light,2016-08-22,38.5339,-106.933,Gunnison,CO
236,Rain,Light,2016-08-23,30.9119,-102.9167,Fort Stockton,TX
237,Rain,Light,2016-08-24,31.3824,-103.5107,Pecos,TX
238,Rain,Light,2016-08-25,26.9185,-81.9939,Punta Gorda,FL
239,Rain,Light,2016-08-26,38.8142,-106.1207,Buena Vista,CO
240,Fog,Severe,2016-08-27,32.9322,-96.4348,Rockwall,TX
241,Rain,Light,2016-08-28,35.5931,-88.9167,Jackson,TN
242,Rain,Light,2016-08-29,35.613,-100.9963,Pampa,TX
